match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5774366309,4861537219,True,1609927268,1614,,,0,4,12,2,187,"40,6,12,108,15","39,4,69,103,41"
5774366214,4861537307,True,1609927299,1569,2196.0,4.0,7,22,34,5,132,"95,2,9,62,74","39,8,14,26,10"
5774366015,4861540709,True,1609927288,1860,4456.0,2.0,7,22,55,3,151,"74,10,27,123,108","2,73,67,71,9"
5774366013,4861541588,False,1609927284,1892,1830.0,2.0,7,22,32,4,231,"21,39,48,64,41","45,9,95,26,23"
5774366012,4861542335,False,1609927284,1912,3021.0,1.0,7,22,29,3,151,"44,121,31,129,94","123,72,67,20,23"
5774365806,4861537651,True,1609927273,1638,,,0,22,23,2,181,"95,105,74,2,101","87,10,44,107,114"
5774365805,4861538328,False,1609927269,1677,3886.0,1.0,7,22,34,3,156,"114,29,7,53,92","5,28,31,6,13"
5774365702,4861541167,False,1609927264,1902,2676.0,3.0,7,22,35,5,134,"70,28,5,91,74","114,8,26,22,129"
5774365603,4861538790,False,1609927263,1624,,,7,22,43,3,154,"42,9,44,39,37","27,86,114,74,97"
5774365519,4861539837,False,1609927253,1816,,,7,22,46,3,154,"30,8,87,129,11","100,20,9,84,67"
5774365415,4861541132,True,1609927248,1920,3166.0,2.0,7,22,42,7,231,"42,68,69,62,39","25,26,93,128,29"
5774365409,4861538081,False,1609927238,1689,2958.0,1.0,7,22,45,5,188,"4,14,25,62,70","108,26,87,34,77"
5774365314,4861540039,True,1609927244,1840,2665.0,1.0,7,22,42,5,154,"53,30,1,74,105","26,83,57,84,95"
5774365313,4861539700,True,1609927239,1830,3987.0,4.0,7,22,71,6,191,"10,41,5,72,114","13,62,67,74,110"
5774365305,4861536039,True,1609927244,1482,1830.0,1.0,7,22,80,5,156,"88,13,91,29,109","9,27,52,129,93"
5774365301,4861538620,True,1609927229,1730,1887.0,1.0,7,22,14,5,227,"9,83,35,84,99","14,18,123,93,87"
5774365210,4861536617,False,1609927233,1598,,,7,22,16,4,183,"113,27,70,57,84","98,21,9,48,7"
5774365113,4861538285,True,1609927227,1727,1642.0,1.0,0,22,23,2,183,"11,35,86,85,14","93,56,25,121,52"
5774365112,4861532084,False,1609927204,1281,2596.0,1.0,7,22,29,3,225,"110,41,56,50,22","6,74,84,97,77"
5774365008,4861540879,True,1609927220,1919,2318.0,2.0,7,22,32,5,186,"22,6,98,73,14","39,70,21,11,30"
5774364918,4861539642,False,1609927214,1772,1818.0,1.0,7,22,31,7,227,"14,84,1,32,50","25,104,9,11,42"
5774364908,4861539297,False,1609927220,1640,,,7,22,15,2,181,"44,63,106,26,91","52,8,11,84,54"
5774364902,4861540710,True,1609927214,1747,3316.0,2.0,7,22,53,3,156,"113,99,121,9,54","65,31,105,60,35"
5774364900,4861540776,True,1609927213,1909,3645.0,2.0,7,3,51,6,227,"41,75,45,36,64","72,100,49,102,12"
5774364816,4861539830,True,1609927208,1870,3531.0,5.0,7,22,62,8,193,"64,74,18,14,21","107,1,45,47,26"
5774364815,4861541964,False,1609927208,1994,,,7,22,37,3,152,"27,60,12,9,11","16,28,25,104,114"
5774364813,4861540161,True,1609927184,1895,3210.0,1.0,7,22,41,6,172,"32,99,21,56,30","95,82,16,88,27"
5774364716,4861538904,True,1609927208,1789,1612.0,1.0,7,22,25,3,155,"22,18,81,84,114","1,94,29,101,41"
5774364619,4861539884,True,1609927193,1821,,,0,22,34,2,192,"10,35,54,84,30","129,8,42,11,26"
5774364605,4861538143,False,1609927199,1758,1378.0,1.0,0,4,19,3,186,"54,114,95,53,104","93,26,71,1,75"
5774364515,4861541689,False,1609927193,1965,2668.0,3.0,7,22,56,7,154,"27,14,22,129,8","28,107,95,25,26"
